question,answer,correct,video.time,speaker
8,A. Adnan Khashoggi,Incorrect,00:10:21,Tarrant
8,B. Ronald Reagan,Incorrect,00:10:22,Tarrant
8,C. Aristotle Onassis,Correct,00:10:25,Tarrant
8,D. Rupert Murdoch,Incorrect,00:10:27,Tarrant
8,C. Aristotle Onassis,Correct,00:10:35,Ingram
8,B. Ronald Reagan,Incorrect,00:10:41,Ingram
8,C. Aristotle Onassis,Correct,00:10:50,Ingram
8,C. Aristotle Onassis,Correct,00:11:10,Ingram
8,C. Aristotle Onassis,Correct,00:11:18,Ingram
9,A. France,Incorrect,00:11:50,Tarrant
9,B. Italy,Incorrect,00:11:51,Tarrant
9,C. Netherlands,Incorrect,00:11:53,Tarrant
9,D. Switzerland,Correct,00:11:54,Tarrant
9,D. Switzerland,Correct,00:12:06,Ingram
9,D. Switzerland,Correct,00:12:20,Ingram
9,A. France,Incorrect,00:12:29,Ingram
9,B. Italy,Incorrect,00:12:32,Ingram
9,C. Netherlands,Incorrect,00:12:36,Ingram
9,D. Switzerland,Correct,00:12:54,Ingram
9,D. Switzerland,Correct,00:12:56,Ingram
9,D. Switzerland,Correct,00:12:57,Ingram
10,A. Coldplay,Incorrect,00:13:42,Tarrant
10,B. Toploader,Incorrect,00:13:44,Tarrant
10,C. A1,Incorrect,00:13:45,Tarrant
10,D. Craig David,Correct,00:13:47,Tarrant
10,C. A1,Incorrect,00:14:20,Ingram
10,D. Craig David,Correct,00:14:28,Ingram
10,D. Craig David,Correct,00:14:32,Ingram
10,A. Coldplay,Incorrect,00:14:37,Ingram
10,B. Toploader,Incorrect,00:14:39,Ingram
10,C. A1,Incorrect,00:15:20,Ingram
10,D. Craig David,Correct,00:15:32,Ingram
10,C. A1,Incorrect,00:15:46,Tarrant
10,D. Craig David,Correct,00:15:47,Tarrant
10,D. Craig David,Correct,00:16:09,Ingram
10,C. A1,Incorrect,00:16:17,Ingram
10,C. A1,Incorrect,00:16:25,Ingram
10,C. A1,Incorrect,00:16:44,Ingram
10,C. A1,Incorrect,00:16:44,Ingram
10,D. Craig David,Correct,00:16:45,Ingram
10,C. A1,Incorrect,00:16:57,Ingram
10,D. Craig David,Correct,00:17:27,Ingram
10,D. Craig David,Correct,00:17:32,Ingram
11,A. Lawn tennis,Incorrect,00:19:37,Tarrant
11,B. Rugby union,Incorrect,00:19:39,Tarrant
11,C. Polo,Incorrect,00:19:41,Tarrant
11,D. Cricket,Correct,00:19:42,Tarrant
11,D. Cricket,Correct,00:19:57,Ingram
11,A. Lawn tennis,Incorrect,00:20:01,Tarrant
11,B. Rugby union,Incorrect,00:20:02,Tarrant
11,C. Polo,Incorrect,00:20:03,Tarrant
11,D. Cricket,Correct,00:20:04,Tarrant
11,D. Cricket,Correct,00:20:07,Ingram
11,A. Lawn tennis,Incorrect,00:20:14,Ingram
11,A. Lawn tennis,Incorrect,00:20:16,Ingram
11,C. Polo,Incorrect,00:20:26,Ingram
11,C. Polo,Incorrect,00:20:34,Ingram
11,C. Polo,Incorrect,00:20:36,Ingram
11,A. Lawn tennis,Incorrect,00:20:42,Tarrant
11,B. Rugby union,Incorrect,00:20:44,Ingram
11,B. Rugby union,Incorrect,00:20:45,Tarrant
11,C. Polo,Incorrect,00:20:46,Tarrant
11,D. Cricket,Correct,00:20:47,Tarrant
11,B. Rugby union,Incorrect,00:20:57,Ingram
11,A. Lawn tennis,Incorrect,00:21:00,Ingram
11,C. Polo,Incorrect,00:21:05,Ingram
11,C. Polo,Incorrect,00:21:12,Ingram
11,D. Cricket,Correct,00:21:18,Ingram
11,D. Cricket,Correct,00:21:28,Ingram
11,D. Cricket,Correct,00:21:29,Ingram
12,A. Van Eyck,Incorrect,00:22:00,Tarrant
12,B. Holbein,Correct,00:22:02,Tarrant
12,C. Michaelangelo,Incorrect,00:22:04,Tarrant
12,D. Rembrandt,Incorrect,00:22:06,Tarrant
12,B. Holbein,Correct,00:22:40,Ingram
12,D. Rembrandt,Incorrect,00:22:41,Ingram
12,B. Holbein,Correct,00:22:46,Ingram
12,B. Holbein,Correct,00:23:00,Ingram
12,B. Holbein,Correct,00:23:10,Ingram
12,B. Holbein,Correct,00:23:14,Ingram
13,A. Overcoat,Incorrect,00:23:43,Tarrant
13,B. Hat,Correct,00:23:44,Tarrant
13,C. Shoe,Incorrect,00:23:46,Tarrant
13,D. Tie,Incorrect,00:23:47,Tarrant
13,B. Hat,Correct,00:23:49,Ingram
13,B. Hat,Correct,00:23:55,Ingram
13,B. Hat,Correct,00:24:02,Ingram
13,B. Hat,Correct,00:24:03,Ingram
13,B. Hat,Correct,00:24:06,Ingram
14,A. Rome,Incorrect,00:24:32,Tarrant
14,B. Paris,Correct,00:24:34,Tarrant
14,C. Berlin,Incorrect,00:24:35,Tarrant
14,D. Athens,Incorrect,00:24:37,Tarrant
14,C. Berlin,Incorrect,00:24:39,Ingram
14,C. Berlin,Incorrect,00:24:50,Ingram
14,C. Berlin,Incorrect,00:25:21,Ingram
14,C. Berlin,Incorrect,00:25:38,Ingram
14,D. Athens,Incorrect,00:26:03,Ingram
14,A. Rome,Incorrect,00:26:05,Ingram
14,C. Berlin,Incorrect,00:26:09,Ingram
14,B. Paris,Correct,00:26:10,Ingram
14,C. Berlin,Incorrect,00:26:22,Ingram
14,B. Paris,Correct,00:26:33,Ingram
14,A. Rome,Incorrect,00:27:03,Tarrant
14,B. Paris,Correct,00:27:04,Tarrant
14,C. Berlin,Incorrect,00:27:05,Tarrant
14,D. Athens,Incorrect,00:27:06,Tarrant
14,C. Berlin,Incorrect,00:27:13,Ingram
14,B. Paris,Correct,00:27:14,Ingram
14,B. Paris,Correct,00:27:19,Ingram
14,B. Paris,Correct,00:27:24,Ingram
15,A. Googol,Correct,00:29:03,Tarrant
15,B. Megatron,Incorrect,00:29:06,Tarrant
15,C. Gigabit,Incorrect,00:29:09,Tarrant
15,D. Nanomole,Incorrect,00:29:12,Tarrant
15,D. Nanomole,Incorrect,00:30:22,Ingram
15,C. Gigabit,Incorrect,00:30:25,Ingram
15,B. Megatron,Incorrect,00:30:34,Ingram
15,B. Megatron,Correct,00:30:51,Ingram
15,A. Googol,Correct,00:30:54,Ingram
15,A. Googol,Correct,00:30:56,Tarrant
15,C. Gigabit,Incorrect,00:31:01,Ingram
15,D. Nanomole,Incorrect,00:31:03,Ingram
15,B. Megatron,Incorrect,00:31:07,Ingram
15,A. Googol,Correct,00:31:14,Ingram
15,D. Nanomole,Incorrect,00:31:17,Tarrant
15,A. Googol,Correct,00:31:20,Tarrant
15,C. Gigabit,Incorrect,00:31:23,Ingram
15,D. Nanomole,Incorrect,00:31:24,Ingram
15,B. Megatron,Incorrect,00:31:25,Ingram
15,A. Googol,Correct,00:31:26,Ingram
15,A. Googol,Correct,00:31:33,Ingram
15,C. Gigabit,Incorrect,00:32:47,Ingram
15,D. Nanomole,Incorrect,00:32:50,Ingram
15,B. Megatron,Incorrect,00:32:52,Ingram
15,B. Megatron,Incorrect,00:32:56,Ingram
15,A. Googol,Correct,00:33:00,Ingram
15,A. Googol,Correct,00:33:38,Ingram
15,A. Googol,Correct,00:33:42,Ingram
15,A. Googol,Correct,00:33:44,Ingram
15,A. Googol,Correct,00:33:45,Ingram
15,A. Googol,Correct,00:33:55,Ingram
15,A. Googol,Correct,00:33:58,Ingram
