cough.number,cough,cougher,question,video.time,comments
1,1,Unknown,5,00:04:37,
2,1,Unknown,5,00:04:49,
3,1,Unknown,6,00:06:29,"After Tarrant says ""Sally"""
4,1,Unknown,8,00:10:18,
5,1,Unknown,8,00:10:33,
6,1,Unknown,8,00:10:37,
7,1,Unknown,8,00:10:42,
8,1,Phantom,8,00:10:46,
9,1,Phantom,8,00:11:11,
10,1,Unknown,9,00:11:44,
11,1,Unknown,9,00:11:46,
12,1,Unknown,9,00:12:20,
13,1,Unknown,10,00:15:09,
14,1,Unknown,10,00:15:12,
15,1,Diana,10,00:15:38,
16,1,Diana,10,00:16:48,
17,1,Diana,10,00:16:51,
18,1,Unknown,10,00:18:15,
19,1,Unknown,10,00:18:48,
20,1,Unknown,11,00:20:04,
21,1,Unknown,11,00:21:11,
22,1,Unknown,11,00:21:16,
23,1,Phantom,11,00:21:19,
24,1,Unknown,11,00:21:28,
25,1,Unknown,12,00:22:01,"After ""Van Eyck"""
26,1,Unknown,12,00:22:47,
27,1,Phantom,12,00:22:48,"After ""Holbein"""
28,1,Unknown,12,00:22:53,
29,1,Phantom,12,00:22:56,
30,1,Unknown,13,00:23:45,
31,1,Unknown,13,00:23:54,"After ""Hat"""
32,1,Phantom,13,00:23:59,"After ""Hat"""
33,1,Unknown,14,00:25:25,
34,1,Phantom,14,00:25:43,"Immediately followed by a muttered ""no"""
35,1,Unknown,14,00:26:02,
36,1,Unknown,14,00:26:04,Could be same cough as previous
37,1,Unknown,14,00:26:06,Could be same cough as previous
38,1,Unknown,14,00:26:15,
39,1,Unknown,14,00:26:29,
40,1,Unknown,14,00:26:55,
41,1,Unknown,14,00:27:05,"Not amplified, but immediately after Tarrant says ""Paris"""
42,1,Unknown,14,00:27:15,"Not amplified, but immediately after Ingram says ""Paris"""
43,1,Phantom,14,00:27:22,"After ""Paris"""
44,1,Unknown,14,00:27:26,
45,1,Unknown,15,00:29:03,
46,1,Unknown,15,00:30:13,
47,1,Unknown,15,00:30:26,
48,1,Unknown,15,00:30:28,
49,1,Unknown,15,00:30:48,
50,1,Unknown,15,00:30:39,
51,1,Unknown,15,00:30:41,
52,1,Unknown,15,00:30:44,
53,1,Phantom,15,00:30:54,"After Ingram says ""Googol"""
54,1,Phantom,15,00:30:57,"After Tarrant says ""Googol"""
55,1,Unknown,15,00:31:11,
56,1,Phantom,15,00:31:17,"After Ingram says ""Googol"""
57,1,Unknown,15,00:31:26,
58,1,Unknown,15,00:31:29,"After Tarrant says ""Googol"""
59,1,Unknown,15,00:31:36,
60,1,Unknown,15,00:31:48,
61,1,Unknown,15,00:31:50,
62,1,Phantom,15,00:33:01,"After Ingram says ""Googol"""
63,1,Unknown,15,00:33:35,
64,1,Unknown,15,00:33:47,
65,1,Unknown,15,00:33:53,
66,1,Phantom,15,00:33:57,"After Ingram says ""Googol"""
67,1,Unknown,15,00:34:03,
